node_id,floor_id,x,y,node_type
N001,0,733.143,918.501,Door
N002,0,758.018,790.006,corridor
N003,0,758,535,corridor
N004,0,713.846,462.856,corridor
N005,0,629,506,corridor
N006,0,638,788,corridor
N008,0,817.86,792.928,Door
N009,0,847.501,783.14,corridor
N010,0,848,743,corridor
N011,0,908,754,corridor
N012,0,842,820.786,Door
N013,0,903,718,Door
N014,0,928,758,Door
N015,0,912,778,Door
N016,0,955,773,corridor
N017,0,978,792,Door
N018,0,962,809,Door
N019,0,926,800,Door
N020,0,905,648,corridor
N021,0,885,632,Door
N022,0,885,664,Door
N023,0,685,810,Door
N024,0,620,765,Door
N025,0,525,790,corridor
N026,0,579,809,Door
N027,0,511,776,Door
N028,0,525,836,corridor
N029,0,542,855,Door
N030,0,508,853,Door
N031,0,810,501,Door
N032,0,818.878,565.152,Door
N033,0,888,568,corridor
N034,0,875,541,Door
N035,0,950,557,Door
N036,0,767,428,Door
N037,0,873,453,Door
N038,0,627,461,Door
N039,0,592,509,Door
N040,0,620,541,Door
N041,0,586,583,corridor
N042,0,516,534,Door
N043,0,730,357,Door
N044,0,728,324,corridor
N045,0,703,321,Door
N046,0,956,322,Door
N047,0,783,918.143,Door
N101,1,678.336,521.735,corridor
N102,1,619.881,561.985,Door
N103,1,591,629,corridor
N104,1,576.6,561.888,Door
N105,1,730.906,400.235,Door
N106,1,730.288,356.906,corridor
N107,1,700.128,357,Door
N108,1,677.203,340.299,Door
N109,1,738,547,corridor
N110,1,771.191,522.094,Door
N111,1,868,541,corridor
N112,1,895,515,Door
N113,1,925.856,531.592,Door
N114,1,887,585,corridor
N115,1,924.46,613.218,Door
N116,1,924,668,Door
N117,1,924,698,Door
N118,1,895.106,716.655,corridor
N119,1,921,765,Door
N120,1,967.236,765.872,corridor
N121,1,1006.066,750.997,Door
N122,1,974,793.627,Door
N123,1,936.384,794.687,Door
N124,1,883,794,Door
N125,1,838,767,corridor
N126,1,840.817,845.073,Door
N127,1,776.496,846.442,Door
N128,1,724,813,corridor
N129,1,675.833,844.126,Door
N130,1,585.371,818.326,corridor
N131,1,577.953,846.665,Door
N132,1,505.807,811.022,Door
N133,1,523.812,845.389,Door
N134,1,511.809,886.762,Door
N201,2,870.631,540.877,corridor
N202,2,818.844,541.658,Door
N203,2,745.016,542.21,corridor
N204,2,600.636,543.445,Door
N205,2,733.724,400.538,Door
N206,2,732.807,352.71,corridor
N207,2,703.036,352.699,Door
N208,2,678.995,339.773,Door
N209,2,844.281,514.137,Door
N210,2,899.323,514.137,Door
N211,2,896.459,609.059,corridor
N212,2,980.281,608.059,Door
N213,2,897.92,678.847,corridor
N214,2,925.197,664.699,Door
N215,2,925.197,694.877,Door
N216,2,898.109,761.51,corridor
N217,2,956.459,761.887,corridor
N218,2,974.156,744.887,Door
N219,2,982.203,786.934,Door
N220,2,939.797,788.491,Door
N221,2,789.776,800.205,corridor
N222,2,841.563,839.579,Door
N223,2,791.64,839.579,Door
N224,2,655.432,762.163,Door
N225,2,522.776,672.205,corridor
N226,2,522.645,562.814,Door
N227,2,487.036,540.085,Door
N228,2,625.281,811.393,corridor
N229,2,681.245,839.579,Door
N230,2,529.814,827.042,corridor
N231,2,514.719,808.653,Door
N232,2,541.525,884.543,Door
N233,2,514.719,884.382,Door
N234,2,581.932,840.663,Door
L201,2,844.811,735.789,stair
L202,2,843,569,stair
L101,1,676.05,737.516,stair
L102,1,675.434,562.652,stair
L103,1,837.751,560.505,stair
L104,1,837.393,734.489,stair
L001,0,677.904,732.467,stair
L002,0,678,548,stair
